time,x,y,u,v,phase,toe_x,toe_y,energy
0.000000,0.000000,1.050000,4.402300,0.000000,0,0.417025,0.141105,19.990623
0.001000,0.004402,1.049995,4.402300,-0.009810,0,0.421428,0.141100,19.990623
0.002000,0.008805,1.049980,4.402300,-0.019620,0,0.425830,0.141086,19.990623
0.003000,0.013207,1.049956,4.402300,-0.029430,0,0.430232,0.141061,19.990623
0.004000,0.017609,1.049922,4.402300,-0.039240,0,0.434635,0.141027,19.990623
0.005000,0.022012,1.049877,4.402300,-0.049050,0,0.439037,0.140983,19.990623
0.006000,0.026414,1.049823,4.402300,-0.058860,0,0.443439,0.140929,19.990623
0.007000,0.030816,1.049760,4.402300,-0.068670,0,0.447841,0.140865,19.990623
0.008000,0.035218,1.049686,4.402300,-0.078480,0,0.452244,0.140791,19.990623
0.009000,0.039621,1.049603,4.402300,-0.088290,0,0.456646,0.140708,19.990623
0.010000,0.044023,1.049510,4.402300,-0.098100,0,0.461048,0.140615,19.990623
0.011000,0.048425,1.049406,4.402300,-0.107910,0,0.465451,0.140512,19.990623
0.012000,0.052828,1.049294,4.402300,-0.117720,0,0.469853,0.140399,19.990623
0.013000,0.057230,1.049171,4.402300,-0.127530,0,0.474255,0.140276,19.990623
0.014000,0.061632,1.049039,4.402300,-0.137340,0,0.478658,0.140144,19.990623
0.015000,0.066034,1.048896,4.402300,-0.147150,0,0.483060,0.140002,19.990623
0.016000,0.070437,1.048744,4.402300,-0.156960,0,0.487462,0.139849,19.990623
0.017000,0.074839,1.048582,4.402300,-0.166770,0,0.491864,0.139688,19.990623
0.018000,0.079241,1.048411,4.402300,-0.176580,0,0.496267,0.139516,19.990623
0.019000,0.083644,1.048229,4.402300,-0.186390,0,0.500669,0.139334,19.990623
0.020000,0.088046,1.048038,4.402300,-0.196200,0,0.505071,0.139143,19.990623
0.021000,0.092448,1.047837,4.402300,-0.206010,0,0.509474,0.138942,19.990623
0.022000,0.096851,1.047626,4.402300,-0.215820,0,0.513876,0.138731,19.990623
0.023000,0.101253,1.047405,4.402300,-0.225630,0,0.518278,0.138510,19.990623
0.024000,0.105655,1.047175,4.402300,-0.235440,0,0.522681,0.138280,19.990623
0.025000,0.110057,1.046934,4.402300,-0.245250,0,0.527083,0.138040,19.990623
0.026000,0.114460,1.046684,4.402300,-0.255060,0,0.531485,0.137789,19.990623
0.027000,0.118862,1.046424,4.402300,-0.264870,0,0.535887,0.137529,19.990623
0.028000,0.123264,1.046154,4.402300,-0.274680,0,0.540290,0.137260,19.990623
